iter	Passed	Remaining
0	93	27857
1	192	28615
2	294	29150
3	395	29244
4	490	28967
5	601	29491
6	717	30028
7	812	29655
8	905	29284
9	1007	29218
10	1100	28923
11	1190	28576
12	1283	28333
13	1370	27993
14	1486	28243
15	1575	27970
16	1663	27686
17	1750	27422
18	1832	27103
19	1909	26739
20	1999	26571
21	2082	26314
22	2162	26048
23	2242	25786
24	2326	25595
25	2415	25452
26	2497	25255
27	2599	25250
28	2711	25335
29	2794	25151
30	2887	25054
31	2982	24976
32	3074	24876
33	3170	24806
34	3263	24712
35	3351	24576
36	3438	24439
37	3525	24306
38	3609	24154
39	3710	24116
40	3826	24170
41	3927	24126
42	4032	24102
43	4125	24002
44	4224	23936
45	4318	23845
46	4409	23738
47	4487	23561
48	4580	23461
49	4659	23297
50	4743	23158
51	4822	22998
52	4913	22897
53	5003	22795
54	5087	22663
55	5166	22511
56	5256	22410
57	5342	22291
58	5433	22193
59	5521	22086
60	5604	21956
61	5698	21873
62	5786	21766
63	5880	21683
64	5968	21579
65	6077	21546
66	6181	21496
67	6266	21378
68	6349	21255
69	6447	21184
70	6549	21124
71	6634	21008
72	6719	20895
73	6815	20814
74	6910	20731
75	7002	20638
76	7108	20585
77	7207	20513
78	7301	20425
79	7406	20366
80	7505	20293
81	7607	20224
82	7693	20113
83	7779	20004
84	7859	19880
85	7943	19766
86	8031	19662
87	8117	19555
88	8196	19432
89	8290	19345
90	8391	19273
91	8486	19187
92	8573	19082
93	8647	18951
94	8728	18834
95	8820	18743
96	8915	18657
97	9004	18560
98	9099	18475
99	9189	18378
100	9268	18262
101	9360	18170
102	9429	18035
103	9514	17930
104	9577	17787
105	9651	17663
106	9722	17537
107	9791	17407
108	9878	17309
109	9958	17200
110	10043	17101
111	10116	16981
112	10195	16873
113	10268	16753
114	10335	16626
115	10404	16503
116	10492	16410
117	10573	16307
118	10658	16211
119	10762	16144
120	10843	16041
121	10923	15938
122	11000	15830
123	11078	15724
124	11158	15621
125	11225	15501
126	11298	15391
127	11367	15275
128	11451	15179
129	11522	15067
130	11591	14953
131	11667	14849
132	11738	14739
133	11807	14626
134	11893	14536
135	11967	14430
136	12048	14334
137	12117	14225
138	12208	14140
139	12291	14047
140	12367	13946
141	12434	13835
142	12509	13734
143	12577	13625
144	12662	13536
145	12733	13431
146	12791	13313
147	12856	13203
148	12928	13101
149	13026	13026
150	13102	12928
151	13186	12839
152	13254	12734
153	13328	12635
154	13408	12543
155	13471	12435
156	13542	12335
157	13614	12235
158	13687	12138
159	13763	12043
160	13833	11943
161	13898	11839
162	13967	11739
163	14039	11642
164	14107	11542
165	14184	11450
166	14277	11370
167	14337	11265
168	14407	11168
169	14474	11068
170	14548	10975
171	14614	10875
172	14681	10777
173	14758	10687
174	14827	10591
175	14907	10503
176	14980	10410
177	15054	10318
178	15138	10233
179	15215	10143
180	15318	10071
181	15398	9983
182	15475	9894
183	15555	9806
184	15626	9713
185	15696	9620
186	15771	9530
187	15847	9441
188	15919	9349
189	15993	9259
190	16081	9177
191	16149	9084
192	16220	8992
193	16296	8904
194	16363	8811
195	16436	8721
196	16507	8630
197	16571	8536
198	16648	8449
199	16725	8362
200	16789	8269
201	16861	8180
202	16930	8090
203	16997	7998
204	17072	7911
205	17140	7821
206	17208	7731
207	17284	7645
208	17348	7553
209	17416	7464
210	17489	7377
211	17586	7300
212	17670	7217
213	17743	7130
214	17817	7044
215	17887	6956
216	17964	6871
217	18028	6781
218	18100	6694
219	18165	6605
220	18234	6518
221	18302	6430
222	18370	6343
223	18448	6259
224	18512	6170
225	18582	6084
226	18651	5998
227	18717	5910
228	18793	5826
229	18867	5742
230	18941	5657
231	19007	5571
232	19082	5487
233	19155	5402
234	19230	5318
235	19315	5238
236	19380	5151
237	19474	5073
238	19575	4996
239	19652	4913
240	19715	4826
241	19804	4746
242	19886	4664
243	19977	4585
244	20057	4502
245	20126	4417
246	20191	4332
247	20263	4248
248	20330	4164
249	20410	4082
250	20491	4000
251	20561	3916
252	20629	3832
253	20703	3749
254	20768	3664
255	20843	3582
256	20923	3500
257	20989	3416
258	21071	3335
259	21147	3253
260	21213	3169
261	21280	3086
262	21348	3003
263	21420	2920
264	21485	2837
265	21559	2755
266	21635	2674
267	21700	2591
268	21772	2509
269	21855	2428
270	21917	2345
271	21987	2263
272	22060	2181
273	22146	2101
274	22243	2022
275	22317	1940
276	22392	1859
277	22461	1777
278	22527	1695
279	22595	1613
280	22666	1532
281	22741	1451
282	22813	1370
283	22893	1289
284	22961	1208
285	23030	1127
286	23105	1046
287	23174	965
288	23247	884
289	23319	804
290	23390	723
291	23459	642
292	23529	562
293	23595	481
294	23665	401
295	23731	320
296	23802	240
297	23870	160
298	23938	80
299	24006	0
